"# Obligatorio | Identificador de contenido Ãºnico del artÃ­culo","# Obligatorio | TÃ­tulo especÃ­fico y relevante para el artÃ­culo.","# Obligatorio | A short and relevant description of the item.","# Obligatorio | The current availability of the item. ","# Obligatorio | The condition of the item. ","# Obligatorio | Precio del artÃ­culo.","# Obligatorio | URL de la pÃ¡gina del producto especÃ­fica donde las personas pueden comprar el artÃ­culo.","# Obligatorio | URL de la imagen principal de tu artÃ­culo. ","# Obligatorio | Marca del artÃ­culo. En su lugar; tambiÃ©n puedes ingresar un nÃºmero Ãºnico","# Opcional | CategorÃ­a de productos de Google para el artÃ­culo.","# Opcional | CategorÃ­a de productos de Facebook para el artÃ­culo.","# Opcional | The quantity of this item you have to sell on Facebook and Instagram with checkout.","# Opcional | Precio con descuento del artÃ­culo si estÃ¡ en oferta.","# Opcional | Intervalo del perÃ­odo de oferta;","# Opcional | Use this field to create variants of the same item.","# Opcional | Sexo de las personas a las que se dirige el artÃ­culo.","# Opcional | Color del artÃ­culo. Usa una o mÃ¡s palabras para describir el color.","# Opcional | TamaÃ±o o talle del artÃ­culo escrito como una palabra; ","# Opcional | Grupo de edad de las personas a las que se dirige el artÃ­culo.","# Opcional | The material the item is made from;","# Opcional | The pattern or graphic print on the item. Character limit: 100.","# Opcional | Detalles de envÃ­o del artÃ­culo; con el siguiente formato:","# Opcional | Peso del envÃ­o del artÃ­culo. Incluye la unidad de medida (lb/oz/g/kg)."
"66429","Protectopie Diferentes Marcas","Protectopie Diferentes Marcas","in stock","new","180","https://begima.com.mx/producto/123456570/pack/0","https://begima.com.mx/public/61ba21fca7bcdpro.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","180","180","","female","black","M","adult","cotton","stripes","","2 kg"
"66428","Calcetines Algodon Bambinos","Calcetines Algodon Bambinos","in stock","new","207.9","https://begima.com.mx/producto/123456580/pack/0","https://begima.com.mx/public/61ba1c6ac38abbam.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","207.9","207.9","","female","black","M","adult","cotton","stripes","","2 kg"
"66427","Boxer Microfibra Romabra","Boxer Microfibra Romabra","in stock","new","420","https://begima.com.mx/producto/123456590/pack/0","https://begima.com.mx/public/61ba16688bb6a999.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66426","Tanga De Colores Con Encaje Begima","Tanga De Colores Con Encaje Begima","in stock","new","240","https://begima.com.mx/producto/123456600/pack/0","https://begima.com.mx/public/61ba143981523111.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","240","240","","female","black","M","adult","cotton","stripes","","2 kg"
"66353","Tin Blanco Teysy","Tin Blanco Teysy","in stock","new","360","https://begima.com.mx/producto/123456700/pack/0","https://begima.com.mx/public/61aa5e718c925147.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","360","360","","female","black","M","adult","cotton","stripes","","2 kg"
"66352","Tanga Decorada Begima","Tanga Decorada Begima","in stock","new","420","https://begima.com.mx/producto/123456701/pack/0","https://begima.com.mx/public/61aa5b72182f0789.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66375","Pantaleta Roja Begima","Pantaleta Roja Begima","in stock","new","480","https://begima.com.mx/producto/123456702/pack/0","https://begima.com.mx/public/61ae4c74d154doiu.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","480","480","","female","black","M","adult","cotton","stripes","","2 kg"
"66378","Boxer Microfibra Colors Gaiyi","Boxer Microfibra Colors Gaiyi","in stock","new","210","https://begima.com.mx/producto/123456703/pack/0","https://begima.com.mx/public/61ae5f73692e7pñl.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","210","210","","female","black","M","adult","cotton","stripes","","2 kg"
"66348","Boxer Estampado Rudotex","Boxer Estampado Rudotex","in stock","new","420","https://begima.com.mx/producto/123456705/pack/0","https://begima.com.mx/public/61aa44c243e17114.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","420","420","","female","black","M","adult","cotton","stripes","","2 kg"
"66347","Top Colores Emily Johnson","Top Colores Emily Johnson","in stock","new","480","https://begima.com.mx/producto/123456706/pack/0","https://begima.com.mx/public/61aa42e7cc7cf113.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","480","480","","female","black","M","adult","cotton","stripes","","2 kg"
"66346","Trusa Colores Rudotex","Trusa Colores Rudotex","in stock","new","480","https://begima.com.mx/producto/123456707/pack/0","https://begima.com.mx/public/61aa413842a281112.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","480","480","","female","black","M","adult","cotton","stripes","","2 kg"
"66345","Brasier Copa B Coobie","Brasier Copa B Coobie","in stock","new","510","https://begima.com.mx/producto/123456708/pack/0","https://begima.com.mx/public/61aa3f9e386c8111.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","510","510","","female","black","M","adult","cotton","stripes","","2 kg"
"66344","Brasier  Copa C CocoFun Colors","Brasier  Copa C CocoFun Colors","in stock","new","390","https://begima.com.mx/producto/123456709/pack/0","https://begima.com.mx/public/61aa3d09347e8654.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","390","390","","female","black","M","adult","cotton","stripes","","2 kg"
"66343","Brasier Copa B Flower","Brasier Copa B Flower","in stock","new","390","https://begima.com.mx/producto/123456710/pack/0","https://begima.com.mx/public/61a95c845a760123.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","390","390","","female","black","M","adult","cotton","stripes","","2 kg"
"66342","Tin Diferentes Marcas","Tin Diferentes Marcas","in stock","new","180","https://begima.com.mx/producto/123456711/pack/0","https://begima.com.mx/public/61a9540fa67e2458.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","180","180","","female","black","M","adult","cotton","stripes","","2 kg"
"66341","Brasier Copa C Romantic Style","Brasier Copa C Romantic Style","in stock","new","390","https://begima.com.mx/producto/123456712/pack/0","https://begima.com.mx/public/61a952a9657aa5596.jpeg","begima","Apparel & Accessories > Clothing","Clothing & Accessories > Clothing","1","390","390","","female","black","M","adult","cotton","stripes","","2 kg"
